file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0203_1500235_to_1504150,མཚམས་མཚམས་སྐྱིད་པོ་འདུག་ད་རཱ། མཚམས་མཚམས་ད་རྦད་དེ་ཁོ་རང་ཉོབ་ཀི་འདུག ,mtshams mtshams skyid po 'dug da rA/_mtshams mtshams da rbad de kho rang nyob ki 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0203_1500235_to_1504150.wav,STT_CS,3,67,3.915,wav16k/STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0203_1500235_to_1504150.wav,མཚམས་མཚམས་ཏག་ཙི་སྐྱིད་པོ་འདུག་ད་རཱ། མཚམས་མཚམས་ད་རྦད་དེ་ཁོ་རང་ཉོབ་ཀྱི་འདུག
STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0206_1525817_to_1529175,བདེ་བོ་འདུག སྐྱིད་པོ་འདྲ་བོ་འདུག ཨེ་ནས་ག་རེ་འདུག་ལབ་དགོས་བེ།  ,bde bo 'dug_skyid po 'dra bo 'dug_e nas ga re 'dug lab dgos be/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0206_1525817_to_1529175.wav,STT_CS,3,62,3.358,wav16k/STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0206_1525817_to_1529175.wav,བདེ་བོ་འདུག་ཨེ་འདྲའི་སྐྱིད་པོ་རེད་འདུག ཨེ་ནས་ག་རེ་འདྲ་བོ་ལབ་དགོས་རེད།
STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0199_1477352_to_1481790,ཨེ་ནས། ཚེ་དགའ། ཨེ་ནས། ཚེ་དགའ། སེམས་པ་ཏོག་ཙི་བདེ་བོ་འདུག་གེ ,e nas/_tshe dga'/_e nas/_tshe dga'/_sems pa tog tsi bde bo 'dug ge_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0199_1477352_to_1481790.wav,STT_CS,3,59,4.438,wav16k/STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0199_1477352_to_1481790.wav,ཨ་ནས་འཚལ་ཀ་ཨོ། ཨ་ནས་འཚེད་ཀ་སེམས་པ་ཏོག་ཙི་བདེ་བོ་འདུག་གེ
STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0207_1532010_to_1534322,ཨེ་ནས། ག་རེ་ལབ་དགོས་རེད་ད།  ,e nas/_ga re lab dgos red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0207_1532010_to_1534322.wav,STT_CS,3,28,2.312,wav16k/STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0207_1532010_to_1534322.wav,ཨེ་ནས་ག་རེ་ལབ་དགོས་རེད་ད།
STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0209_1542979_to_1545780,ཚེ་དགའ་ཡོད་བ་ཡག་པོ་གཅིག་གེ་མི་འདུག་གེ རྫུན་མ་བཤད་ཡིན།  ,tshe dga' yod ba yag po gcig ge mi 'dug ge_rdzun ma bshad yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0209_1542979_to_1545780.wav,STT_CS,3,55,2.801,wav16k/STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0209_1542979_to_1545780.wav,ཚག་ག་ཡོད་བ་ཡག་པོ་ཅིག་མི་འདུག་ཀེསུཅ།
STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0210_1546304_to_1548987,མོ་རང་ཡོད་བ་གཞས་འདྲ་བོ་མ་བཏང་རཱ། ང་ལ་བཏང་བཅུག་གི་འདུག ,mo rang yod ba gzhas 'dra bo ma btang rA/_nga la btang bcug gi 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0210_1546304_to_1548987.wav,STT_CS,3,54,2.683,wav16k/STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0210_1546304_to_1548987.wav,མོ་རང་ཡངད་བ་གཞས་འདྲ་བོ་མ་བཏང་རཱ། ང་ལ་བསང་བྱེག་ཀི་རེད།
STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0211_1549594_to_1552294,ཚེ་དགའ་གཞས་ཤིག་བཏང་། བཏང་ཤེས་ཀི་མེད།  ,tshe dga' gzhas shig btang /_btang shes ki med/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0211_1549594_to_1552294.wav,STT_CS,3,38,2.7,wav16k/STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0211_1549594_to_1552294.wav,ཚ་ག་གཞས་ཤིག་བཏང་། བཏང་ཤེས་ཀྱི་མེད།
STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0198_1474770_to_1477015,ཨེ་ནས། ཚེ་དགའ།  ,e nas/_tshe dga'/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0198_1474770_to_1477015.wav,STT_CS,3,16,2.245,wav16k/STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0198_1474770_to_1477015.wav,ཨ་ནས་འཚེལ་ག
STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0226_1677827_to_1684274,ཨེ་ནས་ཡོད་བ། འདི་ལ་ནི་ཇུས་གཏོགས་ཚ་བ་ཅིག་འདུག ཇུས་གཏོགས་ཚ་བ་ཅིག་འདུག་རཱ། ཨེ་ནས།  ,e nas yod ba/_'di la ni jus gtogs tsha ba cig 'dug_jus gtogs tsha ba cig 'dug rA/_e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0226_1677827_to_1684274.wav,STT_CS,3,80,6.447,wav16k/STT_CS-L-2012_2012-M_M-D_D-B03_B05-5_6-R_R-01_0226_1677827_to_1684274.wav,ཨེ་ནས་ཡོད་བ། དི་ལ་ནི་ཇུས་གཏོགས་ཚ་བ་ཅིགའདག ཇུས་གཏོགས་ཚ་བ་ཅིག་འདུག་རཱ། ཨེ་ནས།
STT_CS-L-2012_2012-P_P-D_D-B02_B01-5_5-R_R-01_0019_154808_to_157440,ག་རེ་བྱེད་ཀི་ཡོད། འདིར་ཤོག་འདིར་ཤོག་ཡ།  ,ga re byed ki yod/_'dir shog 'dir shog ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2012-P_P-D_D-B02_B01-5_5-R_R-01_0019_154808_to_157440.wav,STT_CS,3,40,2.632,wav16k/STT_CS-L-2012_2012-P_P-D_D-B02_B01-5_5-R_R-01_0019_154808_to_157440.wav,ག་རེ་བྱེད་ཀྱི་ཡོད། ཡ་འདིར་ཤོག་འདིར་ཤོག །
